year,course_type,cca_name,college,school,course_name
2021,Full-Time,east,East,School of Applied & Health Sciences,Higher Nitec in Biotechnology
2021,Full-Time,east,East,School of Applied & Health Sciences,Higher Nitec in Chemical Technology
2021,Full-Time,east,East,School of Applied & Health Sciences,Higher Nitec in Paramedic & Emergency Care
2021,Full-Time,central,Central,School of Business & Services,Higher Nitec in Accounting
2021,Full-Time,east,East,School of Business & Services,Higher Nitec in Accounting
2021,Full-Time,asd,West,School of Business & Services,Higher Nitec in Accounting
2021,Full-Time,east,East,School of Business & Services,Higher Nitec in Beauty & Wellness Management
2021,Full-Time,central,Central,School of Business & Services,Higher Nitec in Early Childhood Education
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Event Management
2021,Full-Time,,East,School of Business & Services,Higher Nitec in Event Management
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Financial Services
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Human Resource & Administration
2021,Full-Time,,East,School of Business & Services,Higher Nitec in Human Resource & Administration
2021,Full-Time,,East,School of Business & Services,Higher Nitec in International Logistics
2021,Full-Time,,West,School of Business & Services,Higher Nitec in Leisure & Travel Operations
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Maritime Business
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Passenger Services
2021,Full-Time,,East,School of Business & Services,Higher Nitec in Passenger Services
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Retail & Online Business
2021,Full-Time,,West,School of Business & Services,Higher Nitec in Service Management
2021,Full-Time,,Central,School of Business & Services,Higher Nitec in Sport Management
2021,Full-Time,,East,School of Business & Services,Higher Nitec in Sport Management
2021,Full-Time,sd,West,School of Business & Services,Higher Nitec in Sport Management
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Architectural Technology
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Filmmaking (Cinematography)
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Interactive Design
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Motion Graphics
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Performance Production
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Visual Effects
2021,Full-Time,,Central,School of Design & Media,Higher Nitec in Visual Merchandising
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in Broadcast & Media Technology
2021,Full-Time,,East,School of Electronics & Info-comm Technology,Higher Nitec in Business Information Systems
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in Cyber & Network Security
2021,Full-Time,,East,School of Electronics & Info-comm Technology,Higher Nitec in Cyber & Network Security
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in Cyber & Network Security
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in Data Engineering
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in Electronics Engineering
2021,Full-Time,,East,School of Electronics & Info-comm Technology,Higher Nitec in Electronics Engineering
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in Electronics Engineering
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in Games Art & Design
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in Games Programming & Development
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in IT Applications Development
2021,Full-Time,,East,School of Electronics & Info-comm Technology,Higher Nitec in IT Applications Development
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in IT Applications Development
2021,Full-Time,,Central,School of Electronics & Info-comm Technology,Higher Nitec in IT Systems & Networks
2021,Full-Time,,East,School of Electronics & Info-comm Technology,Higher Nitec in IT Systems & Networks
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in IT Systems & Networks
2021,Full-Time,,West,School of Electronics & Info-comm Technology,Higher Nitec in Security System Integration
2021,Full-Time,,West,School of Engineering,Higher Nitec in Automotive Engineering
2021,Full-Time,,East,School of Engineering,Higher Nitec in Civil & Structural Engineering Design
2021,Full-Time,,East,School of Engineering,Higher Nitec in Electrical Engineering
2021,Full-Time,,West,School of Engineering,Higher Nitec in Electrical Engineering
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Engineering with Business
2021,Full-Time,,East,School of Engineering,Higher Nitec in Facility Management
2021,Full-Time,,West,School of Engineering,Higher Nitec in Facility Management
2021,Full-Time,,East,School of Engineering,Higher Nitec in Integrated Mechanical & Electrical Design
2021,Full-Time,,East,School of Engineering,Higher Nitec in Landscape Management & Design
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Marine & Offshore Technology
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Marine Engineering
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Mechanical Engineering
2021,Full-Time,,West,School of Engineering,Higher Nitec in Mechanical Engineering
2021,Full-Time,,East,School of Engineering,Higher Nitec in Mechanical Engineering
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Mechatronics Engineering
2021,Full-Time,,West,School of Engineering,Higher Nitec in Mechatronics Engineering
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Offshore & Marine Engineering Design
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Precision Engineering
2021,Full-Time,,West,School of Engineering,Higher Nitec in Rapid Transit Engineering
2021,Full-Time,,Central,School of Engineering,Higher Nitec in Robotics & Smart Systems
2021,Full-Time,,West,School of Hospitality,Higher Nitec in Culinary Arts
2021,Full-Time,,West,School of Hospitality,Higher Nitec in Hospitality Operations
2021,Full-Time,,West,School of Hospitality,Higher Nitec in Pastry & Baking
2021,Full-Time,,East,School of Applied & Health Sciences,Nitec in Applied Food Science
2021,Full-Time,,East,School of Applied & Health Sciences,Nitec in Chemical Process Technology
2021,Full-Time,,East,School of Applied & Health Sciences,Nitec in Community Care & Social Services
2021,Full-Time,,East,School of Applied & Health Sciences,Nitec in Nursing
2021,Full-Time,,East,School of Applied & Health Sciences,Nitec in Opticianry
2021,Full-Time,,East,School of Business & Services,Nitec in Beauty & Wellness
2021,Full-Time,,East,School of Business & Services,Nitec in Business Services
2021,Full-Time,,West,School of Business & Services,Nitec in Business Services
2021,Full-Time,,Central,School of Business & Services,Nitec in Business Services
2021,Full-Time,,Central,School of Business & Services,Nitec in Floristry
2021,Full-Time,,East,School of Business & Services,Nitec in Hair Fashion & Design
2021,Full-Time,,East,School of Business & Services,Nitec in Logistics Services
2021,Full-Time,,West,School of Business & Services,Nitec in Retail Services
2021,Full-Time,,East,School of Business & Services,Nitec in Retail Services
2021,Full-Time,,Central,School of Business & Services,Nitec in Retail Services
2021,Full-Time,,West,School of Business & Services,Nitec in Travel & Tourism Services
2021,Full-Time,,Central,School of Design & Media,Nitec in Architectural Technology
2021,Full-Time,,Central,School of Design & Media,Nitec in Digital Animation
2021,Full-Time,,Central,School of Design & Media,Nitec in Fashion Apparel Production & Design
2021,Full-Time,,Central,School of Design & Media,Nitec in Interior & Exhibition Design
2021,Full-Time,,Central,School of Design & Media,Nitec in Product Design
2021,Full-Time,,Central,School of Design & Media,Nitec in Video Production
2021,Full-Time,,Central,School of Design & Media,Nitec in Visual Communication
2021,Full-Time,,Central,School of Engineering,Nitec in Aerospace Avionics
2021,Full-Time,,Central,School of Engineering,Nitec in Aerospace Machining Technology
2021,Full-Time,,Central,School of Engineering,Nitec in Aerospace Technology
2021,Full-Time,,West,School of Engineering,Nitec in Automotive Technology
2021,Full-Time,,West,School of Engineering,Nitec in Built Environment (Mechanical & Electrical Services)
2021,Full-Time,,East,School of Engineering,Nitec in Built Environment (Mechanical & Electrical Services)
2021,Full-Time,,East,School of Engineering,Nitec in Built Environment (Vertical Transportation)
2021,Full-Time,,Central,School of Engineering,Nitec in Digital & Precision Engineering
2021,Full-Time,,East,School of Engineering,Nitec in Electrical Technology (Lighting & Sound)
2021,Full-Time,,West,School of Engineering,Nitec in Electrical Technology (Lighting & Sound)
2021,Full-Time,,East,School of Engineering,Nitec in Electrical Technology (Power & Control)
2021,Full-Time,,West,School of Engineering,Nitec in Electrical Technology (Power & Control)
2021,Full-Time,,Central,School of Engineering,Nitec in Mechanical Technology
2021,Full-Time,,East,School of Engineering,Nitec in Mechanical Technology
2021,Full-Time,,West,School of Engineering,Nitec in Mechanical Technology
2021,Full-Time,,Central,School of Engineering,Nitec in Mechanical Technology (3-year)
2021,Full-Time,,West,School of Engineering,Nitec in Mechatronics & Robotics
2021,Full-Time,,Central,School of Engineering,Nitec in Mechatronics & Robotics
2021,Full-Time,,West,School of Engineering,Nitec in Rapid Transit Technology
2021,Full-Time,,East,School of Engineering,Nitec in Urban Greenery & Landscape
2021,Full-Time,,West,School of Hospitality,Nitec in Asian Culinary Arts
2021,Full-Time,,West,School of Hospitality,Nitec in Hospitality Operations
2021,Full-Time,,West,School of Hospitality,Nitec in Pastry & Baking
2021,Full-Time,,,School of Hospitality,Nitec in Western Culinary Arts
2021,Full-Time,,,,Technical Diploma in Culinary Artsï¿½
2021,Full-Time,,,,Technical Engineer Diploma in Automotive Engineering
2021,Full-Time,,,,Technical Engineer Diploma in Machine Technology
2021,Part-Time,,,,Higher Nitec in Services - Accounting
2021,Part-Time,,,,Higher Nitec in Services - Architectural Technology
2021,Part-Time,,,,Higher Nitec in Services - Event Management
2021,Part-Time,,,,Higher Nitec in Services - Financial Services
2021,Part-Time,,,,Higher Nitec in Services - Hospitality Operations
2021,Part-Time,,,,Higher Nitec in Services - Human Resource & Administration
2021,Part-Time,,,,Higher Nitec in Services - Interactive Design
2021,Part-Time,,,,Higher Nitec in Services - International Logistics
2021,Part-Time,,,,Higher Nitec in Services - Maritime Business
2021,Part-Time,,,,Higher Nitec in Services - Performance Production
2021,Part-Time,,,,Higher Nitec in Services - Visual Merchandising
2021,Part-Time,,,,Higher Nitec in Technology - Automotive Engineering
2021,Part-Time,,,,Higher Nitec in Technology - Business Information Systems
2021,Part-Time,,,,Higher Nitec in Technology - Chemical Technology
2021,Part-Time,,,,Higher Nitec in Technology - Civil & Structural Engineering Design
2021,Part-Time,,,,Higher Nitec in Technology - Cyber & Network Security
2021,Part-Time,,,,Higher Nitec in Technology - Electrical Engineering
2021,Part-Time,,,,Higher Nitec in Technology - Electronics Engineering
2021,Part-Time,,,,Higher Nitec in Technology - Facility Management
2021,Part-Time,,,,Higher Nitec in Technology - Games Art & Design
2021,Part-Time,,,,Higher Nitec in Technology - Games Programming & Development
2021,Part-Time,,,,Higher Nitec in Technology - IT Systems & Networks
2021,Part-Time,,,,Higher Nitec in Technology - Marine & Offshore Technology
2021,Part-Time,,,,Higher Nitec in Technology - Mechanical Engineering
2021,Part-Time,,,,Higher Nitec in Technology - Mechatronics Engineering
2021,Part-Time,,,,Higher Nitec in Technology - Robotics & Smart Systems
2021,Part-Time,,,,Higher Nitec in Technology - Security Systems Integration
2021,Part-Time,,,,Nitec in Services - Beauty & Wellness
2021,Part-Time,,,,Nitec in Services - Business Services
2021,Part-Time,,,,Nitec in Services - Digital Animation
2021,Part-Time,,,,Nitec in Services - Interior & Exhibition Design
2021,Part-Time,,,,Nitec in Services - Retail Services
2021,Part-Time,,,,Nitec in Services - Visual Communication
2021,Part-Time,,,,Nitec in Technology - Aerospace Machining Technology
2021,Part-Time,,,,Nitec in Technology - Automotive Technology
2021,Part-Time,,,,Nitec in Technology - Built Environment (Mechanical & Electrical Services)
2021,Part-Time,,,,Nitec in Technology - Built Environment (Vertical Transportation)
2021,Part-Time,,,,Nitec in Technology - Chemical Process Technology
2021,Part-Time,,,,Nitec in Technology - Electrical Technology (Power & Control)
2021,Part-Time,,,,"Nitec in Technology - Electronics, Computer Networking & Communications"
2021,Part-Time,,,,Nitec in Technology - Infocomm Technology
2021,Part-Time,,,,Nitec in Technology - Mechanical Technology
2021,Part-Time,,,,Nitec in Technology - Mechatronics & Robotics
2021,Part-Time,,,,Nitec in Technology - Security Technology
2021,Part-Time,,,,Nitec in Technology - Web Applications
2021,Part-Time,,,,ISC in Electrical Wiring
2021,Part-Time,,,,ISC in Gas Tungsten Arc Welding
2021,Part-Time,,,,ISC in Residential Air-Conditioning
2021,Part-Time,,,,ISC in Residential Plumbing
2021,Part-Time,,,,ISC in Shielded Metal Arc Welding
2021,Traineeship,,,,Higher Nitec in Automotive Engineering
2021,Traineeship,,,,Higher Nitec in Chronic Diseases & Integrated Care
2021,Traineeship,,,,Higher Nitec in Elder Care
2021,Traineeship,,,,Higher Nitec in Marine & Offshore Technology
2021,Traineeship,,,,Higher Nitec in Service Management
2021,Traineeship,,,,Nitec in Aircraft Maintenance (Avionics)
2021,Traineeship,,,,Nitec in Asian Culinary Arts
2021,Traineeship,,,,Nitec in Automotive Technology
2021,Traineeship,,,,Nitec in Beauty & Wellness
2021,Traineeship,,,,Nitec in Built Environment (Mechanical & Electrical Services)
2021,Traineeship,,,,Nitec in Business Services
2021,Traineeship,,,,Nitec in Community Care & Social Services
2021,Traineeship,,,,Nitec in Dental Assisting
2021,Traineeship,,,,Nitec in Dental Technology
2021,Traineeship,,,,Nitec in Fabrication Technology (Hull & Structures)
2021,Traineeship,,,,Nitec in Fabrication Technology (Marine Pipe)
2021,Traineeship,,,,Nitec in Hair Fashion & Design
2021,Traineeship,,,,Nitec in Hospitality Operations
2021,Traineeship,,,,Nitec in Lift & Escalator Technology
2021,Traineeship,,,,Nitec in Marine Electrical Technology
2021,Traineeship,,,,Nitec in Marine Technology
2021,Traineeship,,,,Nitec in Mechatronics & Robotics
2021,Traineeship,,,,Nitec in Motorcycle Technology
2021,Traineeship,,,,Nitec in Retail Services
2021,Traineeship,,,,Nitec in Western Culinary Arts
2021,Traineeship,,,,ITE Skills Certificate (ISC) in Health Care (Home Care)
2021,Work-Learn Diploma,,,,Work-Study Diploma in Airport Operations
2021,Work-Learn Diploma,,,,Work-Study Diploma in Community Engagement & Development
2021,Work-Learn Diploma,,,,Work-Study Diploma in Culinary Arts & Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Event Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Fitness Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Hotel & Restaurant Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Lifestyle & Recreation Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Logistics & Supply Chain Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Maritime Business Management
2021,Work-Learn Diploma,,,,Work-Study Diploma in Opticianry
2021,Work-Learn Diploma,,,,Work-Study Diploma in Patient Management & Services
2021,Work-Learn Diploma,,,,Work-Study Diploma in Rehabilitation Care
2021,Work-Learn Diploma,,,,Work-Study Diploma in Aircraft Cabin Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Aircraft Engine Maintenance
2021,Work-Learn Diploma,,,,Work-Study Diploma in Aircraft Maintenance Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Arboriculture & Horticulture
2021,Work-Learn Diploma,,,,Work-Study Diploma in Automation Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Chemical Process Technology
2021,Work-Learn Diploma,,,,Work-Study Diploma in Electrical Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Marine & Offshore Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Mechanical & Electrical Services Supervision
2021,Work-Learn Diploma,,,,Work-Study Diploma in Microelectronics
2021,Work-Learn Diploma,,,,Work-Study Diploma in Port Automation Technology
2021,Work-Learn Diploma,,,,Work-Study Diploma in Security Systems Engineering
2021,Work-Learn Diploma,,,,Work-Study Diploma in Vertical Transportation
2021,Work-Learn Diploma,,,,Work-Study Diploma in Cyber Security & Forensics
2021,Work-Learn Diploma,,,,Work-Study Diploma in Cloud Management & Operations
2021,Work-Learn Diploma,,,,Work-Study Diploma in Data Centre Infrastructure & Operation
2021,Work-Learn Diploma,,,,Work-Study Diploma in IT System Integration
2021,Work-Learn Diploma,,,,Work-Study Diploma in Media Communication & Digital Marketing
