JC,Arts,Science / IB,Subjects,DSA talent areas,CCA,Electives and programmes
Anderson Serangoon Junior College (ASRJC),11,11,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Anderson Serangoon Junior College (ASRJC),11,11,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Economics,Concert Band (Girls and Boys),Netball (Girls),
Anderson Serangoon Junior College (ASRJC),11,11,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Anderson Serangoon Junior College (ASRJC),11,11,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Malay Language and Literature,,English Drama (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Tamil Language and Literature,,Concert Band (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,Community Service (First Aid) (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,Photography (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,Science Society (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Anderson Serangoon Junior College (ASRJC),11,11,,,"Indian Language, Drama and Debating (Girls and Boys)",
Anderson Serangoon Junior College (ASRJC),11,11,,,Community Service (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,Strategy Games (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,,,Student Leadership (Council) (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Anglo-Chinese Junior College (ACJC),9,8,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Economics,Concert Band (Girls and Boys),Netball (Girls),
Anglo-Chinese Junior College (ACJC),9,8,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Anglo-Chinese Junior College (ACJC),9,8,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Anglo-Chinese Junior College (ACJC),9,8,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Malay Language and Literature,,English Drama (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Tamil Language and Literature,,Concert Band (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,Community Service (First Aid) (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,Photography (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,Science Society (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Anglo-Chinese Junior College (ACJC),9,8,,,"Indian Language, Drama and Debating (Girls and Boys)",
Anglo-Chinese Junior College (ACJC),9,8,,,Community Service (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,Strategy Games (Girls and Boys),
Anglo-Chinese Junior College (ACJC),9,8,,,Student Leadership (Council) (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Anglo-Chinese School (Independent) (ACS(I)),9,5,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Economics,Concert Band (Girls and Boys),Netball (Girls),
Anglo-Chinese School (Independent) (ACS(I)),9,5,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Malay Language and Literature,,English Drama (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Tamil Language and Literature,,Concert Band (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Community Service (First Aid) (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Photography (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Science Society (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,"Indian Language, Drama and Debating (Girls and Boys)",
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Community Service (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Strategy Games (Girls and Boys),
Anglo-Chinese School (Independent) (ACS(I)),9,5,,,Student Leadership (Council) (Girls and Boys),
Catholic Junior College (CJC),13,13,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Catholic Junior College (CJC),13,13,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Catholic Junior College (CJC),13,13,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Catholic Junior College (CJC),13,13,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Catholic Junior College (CJC),13,13,Economics,Concert Band (Girls and Boys),Netball (Girls),
Catholic Junior College (CJC),13,13,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Catholic Junior College (CJC),13,13,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Catholic Junior College (CJC),13,13,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Catholic Junior College (CJC),13,13,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Catholic Junior College (CJC),13,13,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Catholic Junior College (CJC),13,13,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Catholic Junior College (CJC),13,13,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Catholic Junior College (CJC),13,13,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Catholic Junior College (CJC),13,13,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Catholic Junior College (CJC),13,13,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Catholic Junior College (CJC),13,13,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Catholic Junior College (CJC),13,13,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Catholic Junior College (CJC),13,13,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Catholic Junior College (CJC),13,13,Malay Language and Literature,,English Drama (Girls and Boys),
Catholic Junior College (CJC),13,13,Tamil Language and Literature,,Concert Band (Girls and Boys),
Catholic Junior College (CJC),13,13,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Catholic Junior College (CJC),13,13,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Catholic Junior College (CJC),13,13,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Catholic Junior College (CJC),13,13,,,Community Service (First Aid) (Girls and Boys),
Catholic Junior College (CJC),13,13,,,Photography (Girls and Boys),
Catholic Junior College (CJC),13,13,,,Science Society (Girls and Boys),
Catholic Junior College (CJC),13,13,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Catholic Junior College (CJC),13,13,,,"Indian Language, Drama and Debating (Girls and Boys)",
Catholic Junior College (CJC),13,13,,,Community Service (Girls and Boys),
Catholic Junior College (CJC),13,13,,,Strategy Games (Girls and Boys),
Catholic Junior College (CJC),13,13,,,Student Leadership (Council) (Girls and Boys),
Dunman High School (DHS),9,8,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Dunman High School (DHS),9,8,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Dunman High School (DHS),9,8,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Dunman High School (DHS),9,8,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Dunman High School (DHS),9,8,Economics,Concert Band (Girls and Boys),Netball (Girls),
Dunman High School (DHS),9,8,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Dunman High School (DHS),9,8,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Dunman High School (DHS),9,8,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Dunman High School (DHS),9,8,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Dunman High School (DHS),9,8,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Dunman High School (DHS),9,8,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Dunman High School (DHS),9,8,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Dunman High School (DHS),9,8,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Dunman High School (DHS),9,8,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Dunman High School (DHS),9,8,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Dunman High School (DHS),9,8,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Dunman High School (DHS),9,8,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Dunman High School (DHS),9,8,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Dunman High School (DHS),9,8,Malay Language and Literature,,English Drama (Girls and Boys),
Dunman High School (DHS),9,8,Tamil Language and Literature,,Concert Band (Girls and Boys),
Dunman High School (DHS),9,8,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Dunman High School (DHS),9,8,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Dunman High School (DHS),9,8,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Dunman High School (DHS),9,8,,,Community Service (First Aid) (Girls and Boys),
Dunman High School (DHS),9,8,,,Photography (Girls and Boys),
Dunman High School (DHS),9,8,,,Science Society (Girls and Boys),
Dunman High School (DHS),9,8,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Dunman High School (DHS),9,8,,,"Indian Language, Drama and Debating (Girls and Boys)",
Dunman High School (DHS),9,8,,,Community Service (Girls and Boys),
Dunman High School (DHS),9,8,,,Strategy Games (Girls and Boys),
Dunman High School (DHS),9,8,,,Student Leadership (Council) (Girls and Boys),
Eunoia Junior College (EJC),8,7,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Eunoia Junior College (EJC),8,7,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Eunoia Junior College (EJC),8,7,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Eunoia Junior College (EJC),8,7,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Eunoia Junior College (EJC),8,7,Economics,Concert Band (Girls and Boys),Netball (Girls),
Eunoia Junior College (EJC),8,7,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Eunoia Junior College (EJC),8,7,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Eunoia Junior College (EJC),8,7,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Eunoia Junior College (EJC),8,7,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Eunoia Junior College (EJC),8,7,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Eunoia Junior College (EJC),8,7,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Eunoia Junior College (EJC),8,7,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Eunoia Junior College (EJC),8,7,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Eunoia Junior College (EJC),8,7,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Eunoia Junior College (EJC),8,7,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Eunoia Junior College (EJC),8,7,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Eunoia Junior College (EJC),8,7,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Eunoia Junior College (EJC),8,7,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Eunoia Junior College (EJC),8,7,Malay Language and Literature,,English Drama (Girls and Boys),
Eunoia Junior College (EJC),8,7,Tamil Language and Literature,,Concert Band (Girls and Boys),
Eunoia Junior College (EJC),8,7,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Eunoia Junior College (EJC),8,7,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Eunoia Junior College (EJC),8,7,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Eunoia Junior College (EJC),8,7,,,Community Service (First Aid) (Girls and Boys),
Eunoia Junior College (EJC),8,7,,,Photography (Girls and Boys),
Eunoia Junior College (EJC),8,7,,,Science Society (Girls and Boys),
