year,school,course_name,moe_course_code,poly_course_code,course_description,reference,cca_name,cca_description
2020,School of Applied Science,Diploma in Chemical Engineering,T33,A0D,"Oil refinery giants, major manufacturers of petrochemicals and specialty chemicals, semiconductor industry and pharmaceutical giants all have a strong presence in Singapore. These companies, rooted in such diverse fields, have one thing in common — they rely on chemical engineers in all aspects of their operations. Chemical engineers are involved in the manufacture of products such as fuel, petrochemicals, cosmetics, plastics, microelectronic chips, processed foods and medicine so that we can enjoy and reap the benefits of scientific discoveries. They hold crucial responsibilities in the process industry such as running plant operations, designing reactors and process equipment, improving efficiency as well as looking into the safety and environmental aspects of processes. This course will equip you with skills and knowledge in chemical process technology, environmental technology and occupational safety and health, so that you will be able operate and optimise manufacturing systems that produces the various products that we use in our daily lives. Moreover, you will be trained in analytical chemistry and laboratory techniques so that you will be well trained to do research and testing for the Chemical and Pharmaceutical Industry. You will have opportunities for local or overseas internships at MNCs and reputable institutions.",http://www.tp.edu.sg/schools/asc/chemical-engineering,Band,"The Temasek Polytechnic Band (TP Band) performs a wide repertoire of concert music from classical and pop arrangements to movie soundtracks. With the rich blend of woodwind, brass and percussion instruments, they will surely leave audiences at the edge of their seats. Under the baton of conductors Mr Tan Beng Wee and Mr Ignatius Wang, they have actively been contributing to the vibrant arts scene on and off campus since the establishment of the polytechnic in 1990. TP Band is a platform for all budding, talented young musicians to develop their musicianship and performance capabilities."
2020,School of Applied Science,"Diploma in Food, Nutrition & Culinary Science",T26,A0N,"What aspects of food really intrigue you? Experimenting with time-honoured recipes of our heritage cuisine to give them an updated healthy makeover? Exploring factors affecting the sensory characteristics of food such as wok hei? The health-promoting, disease-preventing nutrients and non-nutrient compounds? How do food manufacturers produce items with such high quality and consistency time after time?When you undertake this course, you will have opportunities to explore all the areas above....and MORE! With a strong emphasis on hands-on experience to ground you in basic culinary, lab and nutrition assessment skills, to embracing new technologies in our food processing facilities, innovative pedagogies such as problem-based learning and the flipped classroom approach, and industry internships, you are in for some powerful learning! When you graduate, your industry-ready skills will give you a strong edge for careers in nutrition and the food industries.",https://www.tp.edu.sg/schools/asc/food-nutrition-and-culinary-science,Chinese Orchestra,"The Chinese Orchestra performs Chinese music using various Chinese instruments such as the Yangqin, Erhu and Pipa to explore the world of traditional and contemporary Chinese music. The elegant and soulful music presented by the Chinese Orchestra will enchant and enthral the audience. The orchestra collaborates with other CCAs such as Band and String Ensemble and also ventures out for public performances and overseas exchange programmes."
2020,School of Applied Science,Diploma in Medical Biotechnology,T64,A0M,"This diploma trains you to play a part in medical doctors’ diagnoses through performing a range of laboratory tests to help identify diseases, and in the research and development that leads to new biological discoveries for improving healthcare and our everyday lives. This course provides detailed knowledge of key concepts in cell technology, molecular analysis, microbiology technology, biochemical analysis, clinical diagnostics, and how these approaches are applied in areas relevant to medical applications such as restoring functions of tissues or organs that are injured or diseased, using stem cells to treat diseases, developing customised treatment to individual patient, performing tests to assist medical doctors’ diagnosis, etc. Not only does this course equip you with broad theoretical knowledge and critical understanding of principles in biotechnology and clinical diagnostics, it also helps you to gain the practical skills required to underpin a career within a research or clinical environment. You will also be exposed to new emerging technologies, such as stem cell therapy, point-of-care diagnostic testing, and personalised medicine research that would transform medicine and revolutionise the healthcare system.",http://www.tp.edu.sg/schools/asc/medical-biotechnology,Chorale ,"The Temasek Polytechnic Chorale performs choral and acappella arrangements in conventional as well as contemporary styles. Let the singers bring music to your ears with the human instrument – the voice. TP Chorale is a renowned choir CCA group comprising a diverse group of Sopranos, Altos, Tenors and Basses, who are bonded by their strong passion for singing and endeavour to convey their love for choral singing through the specially curated concert repertoire."
2020,School of Applied Science,Diploma in Pharmaceutical Science,T25,A0L,"Do you have a passion to safeguard health by making quality drugs and imparting knowledge on the safe use of medicines? If so, this course is for you! You will learn about the effects of medicines on the human body and how they work to cure diseases, and acquire the knowledge and skills required to design, analyse, manufacture and market new therapies.With a rapidly growing ageing population and higher incidence of lifestyle-related illnesses such as Type 2 diabetes and heart diseases, there an increase demand for healthcare services, pharmaceutical and biologic drugs. In addition, with new hospitals, polyclinics and nursing homes in the pipeline, there will also be an unprecedented need for pharmacy technicians and pharmacists in Singapore to work in this industry.This course will build your foundation in chemistry and biology, and equip you with the knowledge and core skills in pharmacy practice, pharmaceutical and biopharmaceutical technologies and analysis. You will learn specialised subjects related to drug action on diseases, medicine legislation and patient counselling to prepare you for work in pharmacies. You will also learn about pharmaceutical manufacturing and bioprocessing technologies and good manufacturing practice. In your third year of study, you can choose to specialize either in the Pharmacy Practice or Pharmaceuticals and Biologics elective cluster, where you will deepen your knowledge in these areas and apply your skills in the relevant fields during the six-month enhanced internship programme. You will be able to take up an internship position at hospitals, retail pharmacies, pharmaceutical manufacturing industry, or QC and research laboratories in Singapore or overseas.",http://www.tp.edu.sg/schools/asc/pharmaceutical-science,TP Dance Ensemble,"TP Dance Ensemble (TPDE) comprises 3 main dance genres; Hip Hop, Modern Dance & Breakin’. Modern Dance is a dance form developed from classical ballet in the early 20th century, shedding the classical ballet technique, costume and shoes. Hip Hop is a popular dance style involving energetic & funky street dance. Breakin’ includes a multitude of different floorwork & explosive movements. Dance Ensemble’s Hip Hop, Modern Dance & Breakin’ are under the tutelage of Ahmad Kamil, Nikki Chan and Gerald Chan respectively."
2020,School of Applied Science,Diploma in Veterinary Technology,T45,A0K,"Achieve your life-long dream of working with animals! This course focuses on establishing a solid foundation in the basic and applied animal sciences, with a strong emphasis on skills-based and hands-on training that will equip you well to work in the veterinary, aquaculture, wildlife conservation and scientific research industries. As the only polytechnic with a licensed animal clinic and the Centre for Aquaculture and Veterinary Science (CAVS), there will be ample opportunities for you to assist in actual procedures in the TP Animal and Wellness Clinic or participate in research projects at CAVS. With our extensive network of industrial training partners and authentic pre-internship on-the-job training at animal hospitals and clinics, this course encourages you to relate academic learning to the relevant work environment and stay abreast with emerging veterinary skills. Choose to hone industry-recognised skills in veterinary practice and research or aquaculture through our final year elective subjects, and get a headstart in your career through our intensive six-month internship programme in relevant animal- or aquaculture-related industries, both locally or overseas.",https://www.tp.edu.sg/schools/asc/veterinary-technology,Digital Media & Production Crew,"Digital Media & Production Crew forms the backbone of all performing arts groups by providing extensive technical support. Other than providing the essentials such as lighting, sound, video, stage management, photography, videography and front-of-house, they also organise campus-wide events such as the annual DREAMS Concert."
2020,School of Business,Common Business Programme,T01,B0Q,"The Common Business Programme (CBP) is designed to enable students to gain a good understanding of business fundamentals. Students will get to study various core business subjects to discover their strengths, aptitudes, interests and career aspirations before they make an informed decision on their preferred diploma at the end of the first semester.",https://www.tp.edu.sg/schools/bus/common-business-programme,Dikir Barat,"Temasek Polytechnic (TP) Dikir Barat is a vibrant traditional Malay art form that involves 15 or more people doing responsorial singing, led by a couple of lead singers and accompanied by Malay percussions. It is a traditional art form anchored in the use of poetry and creative lyrics. TP Dikir takes part in numerous high-level, poly-wide and external public performances. TP Dikir has won multiple awards at the annual national competitions such as ""Piala Suara Serumpun"" (Cluster of Voices Trophy)."
2020,School of Business,Diploma in Accountancy & Finance,T02,B0R,The course will provide you with a dual specialisation in both accountancy and finance so that you have more career choices and further education options. You will be equipped with the core business competencies and professional training to excel in high-growth areas in the accounting and financial services industries.,https://www.tp.edu.sg/schools/bus/accountancy-and-finance,Fusion Percussion (TPFP),"Temasek Polytechnic Fusion Percussion (TPFP) is a highly-spirited group of passionate individuals with a deep interest for percussive music. A collective of vibrant, creative and talented drummers come together in an explosive ensemble. Their shows are always exciting and full of energy. Get them to liven up shows and they will deliver the party to your doorstep! They live by their slogan “with a burning passion, we play to the beat of our hearts”. Brazilian Samba forms the cornerstone of TPFP's creative rhythms such as, Samba Temasek - a fusion of Brazilian samba and Singapore elements."
2020,School of Business,Diploma in Business,T10,B0C,"This course will enhance students’ competitiveness in today’s ever-changing digitalised and interconnected world through a digitally transformative and broad-based holistic curriculum which is aligned with skills competencies and knowledge across various sectorial Skills Frameworks. Students will attain a firm foundation in business, an international business outlook, cutting-edge digital skills and an entrepreneurial mind-set. Deepening of knowledge and skills will be acquired through the choice of one of four elective clusters: Banking & Finance, Digital Business Innovation, Human Resource Management with Psychology and International Business & Entrepreneurship.",http://www.tp.edu.sg/schools/bus/business,Indian Dance,"Temasek Polytechnic (TP) Indian Dance Group (IDG) trains in the various dance forms such as Bharatha-Natyam, Bollywood, folk and semi-classical Indian dance forms. IDG's members do their own choreography and have been featured at various major events. IDG promotes and showcases its colourful and enthralling dance forms and charming performances, leaving the audience asking for more."
2020,School of Business,Diploma in Communications & Media Management,T40,B0E,"The course aims to equip students with key skills demanded by the media and media-related industry such as digital content creation and management, journalism and media production. The curriculum incorporates business elements for students to gain holistic insights into media sector business and operations.",http://www.tp.edu.sg/schools/bus/communications-and-media-management,TP Malay Dance,"TP Malay Dance Group is also called Kesenian Si Anak Tari (Seni Nak Tari or SNT). SNT takes pride in promoting the arts and providing high-quality traditional and contemporary performances. Featuring both traditional and contemporary styles, SNT’s movements are enhanced by their elaborate costumes and accessories, showcasing the rich heritage of the various genres portrayed."
2020,School of Business,Diploma in Culinary & Catering Management,T18,B0M,"This pioneer culinary diploma is offered in collaboration with the reputed Culinary Institute of America (CIA). The course provides students with strong business fundamentals in food & beverage (F&B) before specialising in either Baking & Pastry or Culinary Arts. This prepares them for the F&B industry including hotels, independent restaurants, bars, catering companies, beverage distributors, food and ingredient suppliers and more. ",http://www.tp.edu.sg/schools/bus/culinary-and-catering-management,Music Vox,"TP Music Vox is a family of musicians, typically made up of vocalists, guitarists, bassists, keyboardists, songwriters, drummers and even producers, who play, record and perform assorted genres including pop, rock and indie of original and cover music. They are often invited to perform for events on and off campus such as DREAMS and Temasek Spectacular, having been recognised for their musical synergy and crowd appeal. They have recently released their first ever EP album of original music ‘Beginnings’ on Spotify and other major streaming platforms."
2020,School of Business,Diploma in Hospitality & Tourism Management,T08,B0K,"The course aims to cultivate in students a service oriented mindset and refine their skills in one of 3 tracks - Hotel & Accommodation, Travel & Tourism, or MICE & Events. Student will be equipped with industry-relevant skills and innovative qualities to meet the challenges of the dynamic hospitality and tourism sector.",http://www.tp.edu.sg/schools/bus/hospitality-and-tourism-management,Salvo Drums ,"The Salvo Drums brings to life any stage with their performances using the world’s most ancient instrument – the drum, specifically, the 24-season drums. Teamwork, with disciplined training, plays a vital role for the drummers in displaying their powerful percussive strokes in choreographed synchronised movements. Salvo Drums has also experimented through a variety of themes to enhance the vibrancy and creativity of its performances, immersing the audience with different experiences."
2020,School of Business,Diploma in Law & Management,T09,B0G,"The Diploma in Law & Management is the only law related polytechnic diploma in Singapore. With both business management subjects and law subjects, it aims to prepare students to join the legal industry as paralegals, administrators and law office managers.",http://www.tp.edu.sg/schools/bus/law-and-management,String Ensemble,"The String Ensemble performs pieces from a range of genres, from classical to modern pop music. A string instrument’s sound and timbre can greatly vary depending on how it is played, thus this allows for many possibilities when it comes to music arrangement and ways for members to express themselves."
2020,School of Business,Diploma in Logistics & Operations Management,T07,B0H,This pioneer polytechnic course in Logistics provides students with a strong foundation in business studies and specialised training in essential supply chain functions such as freight forwarding operations and supply chain management to meet the challenges in a technology-driven and globalised world.,http://www.tp.edu.sg/schools/bus/logistics-and-operations-management,Teatro,"Teatro, which means Theatre in Spanish, is a conglomerate of TP's English and Malay drama groups. Teatro engages their audience with high quality skits and staged productions. Being one of the most versatile groups, Teatro scripts and stages drama according to the occasion, fusing various art forms to engage the audiences. Teatro stages theatre performances every year. Keep a look out for their exciting theatrical productions at the TP Black Box!"
2020,School of Business,Diploma in Marketing,T67,B0I,"The course provides students with a strong foundation in business and key competencies in marketing analytics, consumer insights & integrated marketing communications. Students will have the opportunity to specialise in either Branding & Digital Marketing or E-commerce & Retail Marketing.",http://www.tp.edu.sg/schools/bus/marketing,TP Emcees,"TP Emcees is a fun and lively community of emcees who provide hosting services to the student body of Temasek Polytechnic. They assist with the facilitation of events through collaboration with the various school departments and CCA groups. Parties that they work with include the Arts Groups, P10 & Interest Groups, the academic schools, Corporate Communications and the Student Development and Alumni Affairs departments. The TP Emcees have hosted a variety of event types, from formal ones to less formal community service events and also multiple online platforms. Come be part of the TP Emcees family if you feel at ease on stage and love meeting crowds of people."
2020,School of Design,Diploma in Apparel Design & Merchandising,T20,D0C,"The Diploma in Apparel Design & Merchandising provides a holistic overview of the fashion industry, giving students broad-based knowledge and fundamental skillsets in the technical aspects of design conceptualisation, garment construction and merchandising before inviting them to specialise in either Fashion Design or Retail Merchandising. Graduates will develop a keen sense of fashion industry trends and be familiar with the business and production processes of the apparel manufacturing industry. Fundamentally strong in broad core technical skills, they also have depth of expertise in a specialized area. The practice-based curriculum ensures that graduates will fit easily into key roles in the fashion industry's production chain, from creative design conceptualisation, technical production to the front end business roles of buying, strategic marketing and branding.",https://www.tp.edu.sg/schools/des/apparel-design-and-merchandising,10 Pin Bowling,"In recent years, this popular sport has gained a strong following in Singapore among secondary and tertiary students. Similarly, the TP Bowling Team (Men & Women) attracts all levels of bowlers, and our best bowlers compete in the Polytechnic-ITE (POL-ITE) and Institute-Varsity Polytechnic (IVP) Games annually."
2020,School of Design,Diploma in Communication Design,T59,D0K,"The Diploma in Communication Design grooms design professionals who can design and communicate creatively and effectively in the areas of advertising, graphic design, image-making and digital design.The curriculum encompasses design studies in and beyond the area of communication design. Through the rigor of a practice-based curriculum developed with feedback from the creative community, students are constantly challenged to develop strong skills in creative and conceptual thinking, multi-disciplinary capability and technological competency. Essential skills covered include creative ideation, print and publication, digital skills and professional practice. Students are trained in all aspects of graphic design while specialising in one of three specialisations; namely: Branding Design, Image Design and Integrated Communication.",https://www.tp.edu.sg/schools/des/communication-design,Aikido,Aikido is a modern Japanese martial art that was developed for defence while minimising injury for the attacker. Aikido techniques use the attacker’s momentum and turn them into various throws or joint locks.
2020,School of Design,Diploma in Digital Film & Television,T23,D0J,"The Diploma in Digital Film & Television focuses on the development of creative skills in content creation for the motion picture and television mediums. Students are trained to create content that is commercially viable and exportable, in the non-fictional areas of factual and entertainment programmes as well as in fictional films. Subjects cover creative and technical skills and knowledge that are commonly required in the pre and post-production process of video creation. Graduates will be able to conceptualize projects and develop strong stories that will resonate with viewers. The exposure to client-based projects will familiarise them with current industry practices, allowing them to fit seamlessly into production teams upon graduation.",https://www.tp.edu.sg/schools/des/digital-film-and-television,Archery ,Competitive archery involves shooting arrows at a target for accuracy over several set distances. TP Archery Team competes in the Polytechnic-ITE (POL-ITE) Archery Games and external competitions annually.
