year,school,course_name,moe_course_code,poly_course_code,course_description,reference,cca_name,cca_description
2020,School of Design,Diploma in Interior Architecture & Design,T22,D0A,"The Diploma in Interior Architecture & Design trains students to be versatile designers of interior spaces that adapt to people’s needs while considering location, cultural and socio-economic factors. Students are encouraged to explore contemporary social issues and constraints that affect the design of spaces. They will study global trends in lifestyle, culture, sustainability and social change and gain a more holistic perspective of design which will help them provide thoughtful, human-centric and balanced solutions to complex design problems.The course works closely with the industry through ‘live’ collaborative projects, mentorship and internship opportunities. We partner with reputable design studios and clients such as Ong & Ong, SCDA, FARM, DP Architects, DBS, Google Asia, and many more. Study trips, competitions, exchange programmes and a rigorous project-led curriculum will help shape your critical thinking skills and the technical skillsets needed for good design work, and in doing so, prepare you for a successful career in the design field.",https://www.tp.edu.sg/schools/des/interior-architecture-and-design,Badminton,"Another common and popular racquet sport, badminton requires aerobic stamina, agility, strength, speed and precision. The common forms of the game are ""singles"" (with one player per side) and ""doubles"" (with two players per side). TP Badminton Teams (Men & Women) compete in the Polytechnic-ITE (POL-ITE) and Institute-Varsity Polytechnic (IVP) Badminton Games annually."
2020,School of Design,Diploma in Product & Industrial Design,T35,D0E,"The ability to blend ideation, technology and craftsmanship is a 21st century skill that is very much valued by industry today. The Diploma in Product & Industrial Design's project-driven curriculum places strong emphasis on creating better products and experiences through human-centred design. Underpinning the technical and creative skillsets provided by the course is a strong synergistic partnership with industry. Through many 'live' industry projects with actual clients and real briefs, students are exposed to current industry trends and practices. The TP Product & Industrial Design graduate is highly sought-after by startups and established firms in space-making, consumer electronics, communication, fashion, technology and even in non-traditional sectors such as banks, government agencies and hospitals.",https://www.tp.edu.sg/schools/des/product-and-industrial-design,Basketball ,Competitive basketball is another popular team sport in which two competing teams of 5 players play on a rectangle court to try and outscore each other through the basketball hoops at opposing ends. TP Men’s and Women’s Basketball teams compete in the Polytechnic-ITE (POL-ITE) and Institute-Varsity Polytechnic (IVP) Games annually.
2020,School of Engineering,Common Engineering Programme,T56,E1C,The Common Engineering Programme is a common entry point for eight engineering diploma courses at School of Engineering in Temasek Polytechnic. Students select the diploma of your choice during their first year.,http://www.tp.edu.sg/schools/eng/common-engineering-programme,Dragon boat,"Originating from China, dragon boat racing is a human-powered boat sport. For competitive events, dragon boats are generally rigged with decorative and colorful Chinese dragon heads and tails. In races, there are 18-20 people in a standard boat, and 8-10 in a small boat, excluding steersperson and the drummer. The dragon boat races are the highlight of Week Zero activities in our annual Temasek Polytechnic Regatta. TP Dragon Boat Teams (Men & Women) compete in the Polytechnic-ITE (POL-ITE) Dragon Boat Race and external competitions annually."
2020,School of Engineering,Diploma in Aerospace Electronics,T50,E0U,"The desired outcomes of the course are that graduates should be able to:1.         Understand aviation legislations, human factors and their impacts on the aviation industry. 2.         Demonstrate knowledge and practical skills relevant to common aircraft maintenance, repair and overhaul (MRO) practices and procedures. 3.         Demonstrate knowledge and skills in relation to the operation of aircraft electrical and avionic systems.4.         Understand and apply fundamental Electrical, Electronics and Mathematics knowledge and skills in avionic systems.5.         Understand basic aircraft aerodynamic principles and its applications in the operation of an aircraft.6.         Demonstrate lifelong skills such as problem solving, effective communication skills, team and independent work skills, and adaptability to changing technologies.7.         Demonstrate positive attitudes such as a desire for continuous upgrading of knowledge and skills, initiative, integrity, and responsibility.",http://www.tp.edu.sg/schools/eng/aerospace-electronics,Field hockey,"Field hockey is played on natural grass and artificial turf with a small, hard ball. The game is popular in numerous parts of the world, particularly in Europe, Asia, Australia and New Zealand. In Singapore, the sport is very well supported at the secondary and tertiary levels. TP Hockey teams (Men & Women) compete in the Polytechnic-ITE (POL-ITE) Hockey Games annually."
2020,School of Engineering,Diploma in Aerospace Engineering,T51,E0T,"The desired outcomes of this course are that gradates should be able to 1. Understand legislation and human factors in the aviation industry, 2. Demonstrate knowledge and skills relevant to common aircraft maintenance, repair and overhaul (MRO) practices and procedures, 3. Demonstrate knowledge and skills required in the MRO of aircraft engine and airframe, 4. Understand and apply fundamental electrical, electronics and mathematics knowledge and skills in basic avionics system, 5. Understand basic aircraft aerodynamics principles, 6. Demonstrate such lifelong skills as problem solving, effective communication skills, team and independent work skills, and adaptability to changing technologies, and 7. Demonstrate positive attitudes such as a desire for continuous upgrading of knowledge and skills, initiative, integrity, and responsibility.",https://www.tp.edu.sg/schools/eng/aerospace-engineering,Floorball,"Developed in Scandinavia in the 1970s, floorball is a fast-paced sport played indoors with ’plastic’ sticks and a ball. Playing the stick above the waist is also against the rules, making it a relatively safe sport. Each game comprises three periods of 15 minutes and involves five players and a goalkeeper with rotating substitutions. TP Floorball teams (Men & Women) compete in the Polytechnic-ITE (POL-ITE) and Institute-Varsity Polytechnic (IVP) Floorball Games annually."
2020,School of Engineering,Diploma in Aviation Management,T04,E1G,"The desired outcomes of the course are that graduates should be able to 1. Synthesize basic aviation knowledge in related aviation domains, 2. Develop and implement aviation operational processes, 3. Manage safety and security in aviation operations, 4. Integrate project management methodology in aviation, 5. Use IT productivity tools to evaluate and enhance aviation operations, 6.Demonstrate effective communication and interpersonal skills in related aviation domains, 7. Apply problem solving and critical thinking skills in aviation related issues, 8. Demonstrate teamwork and dispositions of integrity, resilience, and attention to details, and 9.Display drive for continuous learning, improvement, and knowledge of aviation trends.",https://www.tp.edu.sg/schools/eng/aviation-management,Handball ,Handball is a team sport in which two teams of six outcourt players and one goalkeeper pass the ball around with the objective of throwing it into the goal of the opposing team. The game consists of two halves of 30 minutes each and the team with the most goals at the end of the game wins the match. TP Handball (Men) team competes in external competitions annually.
2020,School of Engineering,Diploma in Biomedical Engineering,T38,E1F,"The course curriculum was designed and developed to meet the needs of the industry and to be aligned with TP Desired Graduate Profile.The diploma aims to equip graduates with the knowledge and skills to support the biomedical sciences industry in Singapore.The 3-year program is designed to prepare our students for diverse careers, from opportunities in biomedical sciences to opportunities in electronics industries.",http://www.tp.edu.sg/schools/eng/biomedical-engineering,Inline Skating,"A pair of skates is portable, versatile and can be used to skate on any hard surface. Inline skating allows freedom of movement and allows the skater to maneuver the body to perform skating movements and tricks. The sport improves balance, and strengthens the upper and lower body muscles."
2020,School of Engineering,Diploma in Business Process & Systems Engineering,T43,E0K,"The diploma aims to equip graduates with the knowledge and skills to support the manufacturing and service industries.The program is designed to prepare our students for diverse careers, from opportunities in systems engineering to opportunities in manufacturing, logistics and service oriented industries.",http://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering,Judo,"Judo is a combat martial art founded in Japan and has evolved into an Olympic sport. Two judo practitioners, also known as Judoka, will step into a combat ring with the objective of throwing or taking down the opponent, immobilise an opponent with a pin or force an opponent into submission with a choke or joint lock. TP Judo team competes in external competitions annually."
2020,School of Engineering,Diploma in Clean Energy,T52,E0V,"With worldwide concerns on the huge impacts of climate change, the adoption of modern technological solutions in sustainable city development has become extremely urgent today. This course aims to equip the students with industry relevant skills in the modern electrification, automation and data analytics. Our graduates will be able to work competently in dynamic sectors related to urban sustainability such as modern electricity, green transportation, smart infrastructure and advanced manufacturing.",http://www.tp.edu.sg/schools/eng/clean-energy,Karate ,"Karate is a martial art developed in Japan under the influence Chinese Kung Fu. A karate practitioner is called a karateka and the aim is to master the art of punching, kicking, knee strikes, elbow strikes and open-hand techniques such as knife-hands, palm-heel hands and spear hands. TP Karate team competes in external competitions annually."
2020,School of Engineering,Diploma in Computer Engineering,T13,E0C,"The diploma aims to equip students with the knowledge and skills in computer systems, embedded systems, networking, enterprise and web-based development in order to meet the demand for graduates with hardware, software and system integration skills brought about by the rapid growth of the emerging trends such as internet of things, wireless sensor networks and cloud computing, as well as the Smart Nation Initiative in Singapore and beyond.",http://www.tp.edu.sg/schools/eng/computer-engineering,Kayak racing,"Kayak racing is a water sport growing in popularity. The first kayaks were made of driftwood and animal skins by the natives of Asia and North America. Modern kayaks are made of metal, fiberglass and rubber, making them stronger, more durable and portable. TP Kayak Racing team competes in the Polytechnic-ITE (POL-ITE) Canoe Sprints and external competitions annually."
2020,School of Engineering,Diploma in Electronics,T65,E0E,"The course trains young professionals to support continuing growth in the important electronics industry as well as the wide application of electronics across various other industries. It is a structured diploma course that provides broad-based training with specialised electives, covering areas such as analogue and digital applications, software, embedded system control and data analytics to address the growing needs of the industry. With the emergence of industry 4.0 and technologies such as smart systems, robotics, automation, artificial intelligence and the Internet of Things (IoT) in applications related to not only manufacturing but also fields such as aerospace and healthcare, this course will groom professionals who can offer the multi-disciplinary solutions that will be required in today’s new economy.",http://www.tp.edu.sg/schools/eng/electronics,Lifesaving,"Lifesaving is a unique sport, where the skills are developed primarily for humanitarian purposes and applied for competition. The sport provides a platform for lifeguards to come together to develop their skills in drowning prevention and attending to water-related injuries. It involves a myriad of simulated scenarios such as swimming to a submerged manikin, bringing the manikin to the surface and swimming to the edge of the pool. To get involved in the sport, a person needs a Bronze Medallion certification."
2020,School of Engineering,Diploma in Green Building & Sustainability,T29,E0X,"The course will equip students with the fundamental building services knowledge and practical skills to meet the needs of the emerging green building industry locally and globally. The rigorous academic training, conducted by highly qualified professionals such as architects, engineers, project managers and facility managers, will groom competent and industry-ready graduates who will be able to make a mark in the built environment sector, particularly in the areas of Green Building Assessment, Simulation and Modelling as well as Energy Management and Audit.",http://www.tp.edu.sg/schools/eng/green-building-and-sustainability,Mind Sport,"The mind sport is a board game of strategy for two players. As opposed to physical exercise, the competition is based on strategy and endgame methods. The common board games played in TP are Xiangqi and International Chess. TP Mind Sports team participates in external competitions annually."
2020,School of Engineering,Diploma in Integrated Facility Management,T28,E0W,"The course team has designed and developed the course curriculum with a balance of industry needs and alignment with the TP Desired Graduate Profile and the International Facility Management Association (IFMA) competencies. This Diploma focuses on bringing students into the multi-disciplinary FM profession by equipping them with Technical and Management Skills to integrate people, place and process in a built environment.In October 2010, the Diploma became the first Diploma in the world to be awarded the International Facility Management Association (IFMA) Foundation Accredited Degree Program – a testimonial of the high standard of our diploma program. The objective is therefore to train a group of Para-professionals who will meet the needs of the Facility Management industry, and who in turn would have a good head start if they were to pursue the certification of an FM Professional, mapping them against the eleven competencies defined by IFMA.",http://www.tp.edu.sg/schools/eng/integrated-facility-management,,
2020,School of Engineering,Diploma in Mechatronics,T66,E0M,"This course begins with a solid foundation in fundamental engineering knowledge and skills, which will then expand into core competency area such as automation, robotics, mechatronics design, programmable logic controllers, electromechanical, pneumatics, vision systems, computer numerical control, sensors integration, microcontroller programming and control engineering. The aims of this course are to produce competent and conscientious Mechatronics technologists who will be able to meet the demands of the industries, and have the ability to acquire knowledge and skills relevant to their profession.",http://www.tp.edu.sg/schools/eng/mechatronics,,
2020,School of Humanities & Social Sciences,Diploma in Psychology Studies,T48,G0A,"This course gives you the perfect platform to delve deep into the human mind and discover what makes people tick. A broad foundation in the study of human behaviour and mental processes will see you learn more about how individuals think, communicate and interact with one another. With a strong focus on people, your curriculum will prepare you for a rewarding career in the social service and special needs education sectors, where psychology concepts are applied to better the lives of many. Flexibility to select electives in your areas of personal interest will also ensure your core skillset is well supplemented when you enter the workforce.",http://www.tp.edu.sg/schools/hss/psychology-studies,,
2020,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,T68,G0E,"Get ready to be a part of Singapore’s next generation of early childhood educators. Conducted by the National Institute of Early Childhood Development (NIEC), in collaboration with Temasek Polytechnic at the NIEC (TP) Campus, this course will equip you with the necessary skills and knowledge to excel as an early childhood educator. You’ll gain insight into the complexities of child development while mastering the art of curriculum planning. You’ll also learn how to implement your skills in early childhood settings such as preschools. A practice-oriented approach to learning will see you pick up real-time industry experience as you conduct lessons side-by-side trained early childhood professionals. Graduate with the Diploma in Early Childhood Development & Education (ECDE) in the Visual Arts Track when you choose relevant electives^ in your final year. With your diploma recognised by the Early Childhood Development Agency (ECDA), you’ll be all set to enter the workforce upon your graduation.^ Subject to prevailing terms and conditions",https://www.tp.edu.sg/schools/hss/early-childhood-development-and-education,,
2020,School of Humanities & Social Sciences,Diploma in Social Sciences in Gerontology,T53,G0F,"People are living longer these days, and the challenge for our seniors is to stay healthy, engaged and active. This also means that employers need staff with in-depth understanding of ageing to support the demands and aspirations of this sector.You can play a crucial role in helping seniors achieve active ageing by coming up with exciting programmes, initiatives and services to assist their physical, cognitive and socio-emotional well-being.",https://www.tp.edu.sg/schools/hss/social-sciences-in-gerontology,,
2020,School of Informatics & IT,Diploma in Financial Business Informatics,T17,C0J,"The Diploma in Financial Business Informatics (FBI) was launched to develop professionals to meet the manpower needs of the Information Technology (IT) and Financial Services Industry (FSI). Students in this course undertake a broad-based curriculum in information technology while at the same time deepening their skills in the areas of Fintech and the financial services industry. This enables students to see the link between subjects and enables them to integrate their skills to develop real applications from their first year, within the financial domain.",http://www.tp.edu.sg/schools/iit/financial-business-informatics,,
2020,School of Informatics & IT,Diploma in Game Design & Development,T58,C0P,"The course meets industry demands for professionals with the skills to develop games that would be used in industry for training, teaching, simulations and leisure. The course equips students with foundation skills in computer science, as well as the fundamental skills of game design and game development. The course takes a student-centred approach that encourages students to explore existing and new technologies in depth, and to translate what they learn into the social, workplace, and national contexts. In addition to understanding current technology, the pace of digital game development requires students to be able to learn new skills quickly and independently.",http://www.tp.edu.sg/schools/iit/game-design-and-development-t58,,
2020,School of Informatics & IT,Diploma in Information Technology,T30,C0B,"This course helps meet the demand in industry for strong software developers. It emphasises broad-based training with opportunities to develop deep skills through the projects that students undertake. The course encourages students to explore existing and new technologies in depth, and to translate what they learn into the social, workplace, and national contexts. In addition to understanding current technology, the pace of IT development requires students to be able to learn new skills quickly and independently. Besides providing a strong computer science foundation, up-to-date topics in software engineering, object-oriented analysis and design, web-based and enterprise application development, software system security, software testing, communication skills and team work are incorporated into the curriculum to provide students the depth and breadth of knowledge and skills required of IT professionals.",http://www.tp.edu.sg/schools/iit/information-technology,,
2020,School of Informatics & IT,Diploma in Cybersecurity & Digital Forensics,T62,C0R,"The Diploma in Cybersecurity & Digital Forensics trains students with skills to meet the huge demand in industry for cybersecurity and digital forensics professionals in a wide range of business and organisations. With the acute manpower shortages in the cybersecurity workforce, organisations expect their security staff to possess not just the traditional cybersecurity skills, but also incident response and forensic investigation skills.",https://www.tp.edu.sg/schools/iit/cybersecurity-and-digital-forensics,,
2020,School of Informatics & IT,Common ICT Programme,T63,C0T,The Common ICT Programme provides you with the time you need to learn more about IT fundamentals and the various ICT courses TP offers.The strong foundation you will gain in your first year is also the experience you can tap on to make an informed decision on the path you wish to pursue.,https://www.tp.edu.sg/schools/iit/common-ict-programme,,
2020,School of Informatics & IT,Diploma in Big Data & Analytics,T60,C0S,"This Diploma will help you harness the real power of data analytics and turn you into the go-to person organisations consult to unlock their true potential. With Singapore’s emergence as an international Data and Analytics hub, you will be in the best position to land a rewarding career as a big data professional. ",https://www.tp.edu.sg/schools/iit/big-data-and-analytics,,
